"CityProvince","Barangay","density"
"AJUY","Poblacion",971.586242098852
"AJUY","Malayu-an",884.827994920719
"AJUY","Luca",825.927900506206
"AJUY","Pili",780.293593121989
"AKBAR","Semut",304.56700303812
"AKBAR","Linongan",166.720371504695
"AKBAR","Upper Sinangkapan",145.048081973319
"AKBAR","Lower Bato-bato",123.851359923822
"AKBAR","Paguengan",112.030111088526
"AL-BARKA","Guinanta",143.417564892588
"AL-BARKA","Magcawa",142.262615293737
"AL-BARKA","Bucalao",130.645181093532
"AL-BARKA","Lookbisaya (Kaulungan Island)",106.255363094272
"AL-BARKA","Kailih",103.266081779599
"ALABAT","Barangay 3 (Pob.)",494.24309222949
"ALABAT","Barangay 4 (Pob.)",360.198742056411
"ALABAT","Barangay 2 (Pob.)",330.141781077276
"ALABAT","Camagong",298.630451018505
"ALABAT","Barangay 1 (Pob.)",275.602940590942
"ALABEL (Capital)","Poblacion (Alabel)",949.451595008883
"ALABEL (Capital)","Alegria",411.582861115207
"ALABEL (Capital)","Datal Anggas",402.352664433724
"ALABEL (Capital)","Pag-Asa",397.894898990963
"ALABEL (Capital)","Maribulan",342.251497405433
"ALAMADA","Dado",618.842732053956
"ALAMADA","Bao",503.203052038789
"ALAMADA","Guiling",284.457879547513
"ALAMADA","Kitacubong (Pob.)",277.797453533034
"ALAMADA","Barangiran",246.80287263101
"ALAMINOS","San Benito",1522.23963668524
"ALAMINOS","San Agustin",1375.59075448865
"ALAMINOS","Barangay IV (Pob.)",821.233740300888
"ALAMINOS","Barangay I (Pob.)",815.901053675558
"ALAMINOS","San Gregorio",803.538916498655
"ALANGALANG","Mudboron",437.020277360061
"ALANGALANG","Binongto-an",430.218405338893
"ALANGALANG","San Vicente",422.660769759817
"ALANGALANG","Lingayon",338.959955721552
"ALANGALANG","Dapdap",325.167270789739
"ALBUERA","Poblacion",1786.24716911458
"ALBUERA","Balugo",911.261909947071
"ALBUERA","Damula-an",758.975553028692
"ALBUERA","San Pedro",749.339567665371
"ALBUERA","Tinag-an",615.947299694682
"ALBURQUERQUE","East Poblacion",478.808956363417
"ALBURQUERQUE","Ponong",286.676916688752
"ALBURQUERQUE","West Poblacion",260.934499679966
"ALBURQUERQUE","Bahi",217.17239076503
"ALBURQUERQUE","Santa Filomena",213.89608314573
"ALCALA","San Vicente",1067.54652276735
"ALCALA","San Pedro Apartado",908.132286175761
"ALCALA","Bersamin",880.933648653026
"ALCALA","San Pedro III",858.771795856724
"ALCALA","Kasikis",798.330379139535
"ALCANTARA","Palanas",620.392249911739
"ALCANTARA","Poblacion",571.013613649432
"ALCANTARA","Candabong",566.567196166096
"ALCANTARA","Manga",466.873835750253
"ALCANTARA","Lawaan",399.241485608988
"ALCOY","Poblacion",844.819321833791
"ALCOY","Nug-as",769.698268562698
"ALCOY","Pugalo",609.861261135418
"ALCOY","Daan-Lungsod",435.98293533971
"ALCOY","Pasol",418.665309351981
"ALEGRIA","Madridejos",1203.10696220153
"ALEGRIA","Valencia",747.700203118826
"ALEGRIA","Santa Filomena",747.466181146019
"ALEGRIA","Guadalupe",609.861261135418
"ALEGRIA","Poblacion",573.353833377503
"ALEOSAN","San Mateo",248.533534508788
"ALEOSAN","Dualing",157.228009381166
"ALEOSAN","New Panay",153.871574224263
"ALEOSAN","Pagangan",152.455578142445
"ALEOSAN","Dunguan",147.106259611131
"ALFONSO","Luksuhin",1030.90528261502
"ALFONSO","Marahan I",654.466085836009
"ALFONSO","Buck Estate",649.860583750496
"ALFONSO","Mangas I",565.749571978239
"ALFONSO","Taywanak Ibaba",503.454096400515
"ALFONSO CASTANEDA","Lublub (Pob.)",281.469577248023
"ALFONSO CASTANEDA","Abuyo",117.808262794233
"ALFONSO CASTANEDA","Pelaway",92.1708301940417
"ALFONSO CASTANEDA","Galintuja",59.6399489490858
"ALFONSO CASTANEDA","Cauayan",32.1436088491826
"ALFONSO LISTA (POTIA)","Santa Maria",291.951002415971
"ALFONSO LISTA (POTIA)","Pinto",184.308905183741
"ALFONSO LISTA (POTIA)","Kiling",135.472385877167
"ALFONSO LISTA (POTIA)","Namillangan",131.615309625736
"ALFONSO LISTA (POTIA)","Poblacion",116.424363158564
"ALIAGA","Bibiclat",1057.3556606603
"ALIAGA","Bucot",730.109252225056
"ALIAGA","Santo Tomas",724.586703575565
"ALIAGA","San Juan",675.166973353194
"ALIAGA","Umangan",524.642121701674
"ALICIA","Poblacion (Calingganay)",986.168593409306
"ALICIA","La Hacienda",879.454573809248
"ALICIA","Katipunan",542.228910994153
"ALICIA","Poblacion",448.065461313072
"ALICIA","Cayacay",443.939682415153
"ALILEM","Alilem Daya (Pob.)",396.646797206551
"ALILEM","Dalawa",312.53249227513
"ALILEM","Anaao",194.419890440291
"ALILEM","Daddaay",153.118255683545
"ALILEM","Apaya",133.72663448678
"ALIMODIAN","Poblacion",2326.81904511385
"ALIMODIAN","Bancal",464.567861800953
"ALIMODIAN","Sinamay",371.707352588884
"ALIMODIAN","Taban-Manguining",309.888785027706
"ALIMODIAN","Pajo",282.030632264085
"ALITAGTAG","Poblacion West",592.655399951497
"ALITAGTAG","San Jose",586.110739093137
"ALITAGTAG","Muzon Segundo",554.599409034366
"ALITAGTAG","Muzon Primero",553.387434801336
"ALITAGTAG","Ping-As",349.53336880575
"ALLACAPAN","Matucay",187.052567158496
"ALLACAPAN","Cataratan",158.0071374755
"ALLACAPAN","Centro West (Pob.)",158.0071374755
"ALLACAPAN","Iringan",139.495516957537
"ALLACAPAN","Labben",135.855156437268
"ALLEN","Sabang Zone II (Pob.)",695.302473274978
"ALLEN","Jubasan",609.901191231421
"ALLEN","Kinabranan Zone II (Pob.)",546.794934146138
"ALLEN","Cabacungan",411.135375501726
"ALLEN","Lipata",366.545325585179
"ALMAGRO","Bacjao",189.696653034804
"ALMAGRO","Kerikite",109.207834117646
"ALMAGRO","Lunang II",94.659385627925
"ALMAGRO","Talahid",93.3367994015868
"ALMAGRO","Lunang I (Look)",92.3920949542023
"ALMERIA","Poblacion",525.822495414202
"ALMERIA","Caucab",351.24111353755
"ALMERIA","Jamorawon",284.733920441683
"ALMERIA","Iyosan",267.918181278239
"ALMERIA","Talahid",242.033279419904
"ALOGUINSAN","Bonbon",1827.00954170538
"ALOGUINSAN","Poblacion",793.802531761833
"ALOGUINSAN","Angilan",616.413876374018
"ALOGUINSAN","Kawasan",523.975197115196
"ALOGUINSAN","Tampa-an",472.958407043239
"ALORAN","Pelong",136.588832715579
"ALORAN","Conat",126.507746654082
"ALORAN","Lobogon",122.554379571142
"ALORAN","Maular",119.194017550643
"ALORAN","Palayan",117.909173248687
"ALTAVAS","Poblacion",1168.98115310965
"ALTAVAS","Odiong",803.376062554703
"ALTAVAS","Lupo",564.326580268776
"ALTAVAS","Cabugao",521.080114550012
"ALTAVAS","Linayasan",496.671066414268
"ALUBIJID","Lourdes",315.083356510323
"ALUBIJID","Loguilo",303.816260323943
"ALUBIJID","Poblacion",295.118852741475
"ALUBIJID","Tugasnon",216.249179436821
"ALUBIJID","Lanao",211.70280729144
"AMADEO","Talon",751.42402447838
"AMADEO","Pangil",705.126608776648
"AMADEO","Maitim I",683.55346742872
"AMADEO","Dagatan",659.798772461339
"AMADEO","Salaban",560.174490506302
"AMBAGUIO","Poblacion",213.619453508544
"AMBAGUIO","Tiblac",164.435859245337
"AMBAGUIO","Ammueg",163.428951016326
"AMBAGUIO","Labang",141.431878936404
"AMBAGUIO","Dulli",136.862064666279
"AMLAN (AYUQUITAN)","Jugno",356.745497340861
"AMLAN (AYUQUITAN)","Tandayag",333.591997258927
"AMLAN (AYUQUITAN)","Bio-os",330.414065875132
"AMLAN (AYUQUITAN)","Silab",327.417730570411
"AMLAN (AYUQUITAN)","Jantianon",271.758532334232
"AMPATUAN","Kauran",339.758996697221
"AMPATUAN","Dicalongan (Pob.)",288.261832230815
"AMPATUAN","Salman",271.005526459751
"AMPATUAN","Kamasi",186.014823626673
"AMPATUAN","Kapinpilan",130.101675399956
"AMULUNG","Centro",193.248925490869
"AMULUNG","Estefania",190.228200803837
"AMULUNG","Dadda",164.82313164111
"AMULUNG","Baculud",150.803870914117
"AMULUNG","Calamagui",137.016973624588
"ANAHAWAN","Poblacion",255.825964351718
"ANAHAWAN","Tagup-on",190.641357482188
"ANAHAWAN","Lo-ok",177.982317887236
"ANAHAWAN","San Vicente",160.977637834316
"ANAHAWAN","Mahalo",155.309411150009
"ANAO","Sinense",157.888249850841
"ANAO","San Francisco West",156.755419358638
"ANAO","Suaverdez",143.727868698299
"ANAO","Casili",136.081262875927
"ANAO","Rizal",120.929655042707
"ANDA","Poblacion",868.845365309589
"ANDA","Carot",866.326972946373
"ANDA","Cabungan",800.345093030108
"ANDA","Tondol",739.148158603954
"ANDA","Mal-ong",724.541482897301
"ANGADANAN","La Suerte",159.711136016903
"ANGADANAN","Centro II (Pob.)",141.586787894713
"ANGADANAN","Calabayan-Minanga",139.572971436692
"ANGADANAN","Viga",137.481700499516
"ANGADANAN","Dalenat",117.188626960996
"ANGAT","Sulucan",810.398613359968
"ANGAT","Santa Cruz (Pob.)",798.787100814884
"ANGAT","Binagbag",733.790951324717
"ANGAT","San Roque (Pob.)",731.808497963361
"ANGAT","Santo Cristo (Pob.)",707.877453815565
"ANGELES CITY","Balibago",5676.47199261944
"ANGELES CITY","Malabanias",4697.56484354422
"ANGELES CITY","Cutcut",3942.67492430222
"ANGELES CITY","Pulung Cacutud",3383.05666115377
"ANGELES CITY","Cutud",3281.95153972462
"ANGONO","Mahabang Parang",7936.97685726455
"ANGONO","San Isidro",7596.41209778322
"ANGONO","Kalayaan",4085.32274469633
"ANGONO","San Vicente",2884.01388491735
"ANGONO","San Roque",2399.22419170549
"ANILAO","Dangula-an",701.229502421427
"ANILAO","Badiang",600.144205250574
"ANILAO","San Carlos",599.082942288151
"ANILAO","Poblacion",584.225260814219
"ANILAO","Mostro",512.059379369411
"ANINI-Y","Magdalena",575.204525633618
"ANINI-Y","Mabuyong",367.462300739189
"ANINI-Y","San Francisco",365.605090554948
"ANINI-Y","Butuan",358.706881299194
"ANINI-Y","Talisayan",355.788408152529
"ANTEQUERA","Poblacion",328.566849821231
"ANTEQUERA","Bantolinao",298.143993356302
"ANTEQUERA","Angilan",221.618808248366
"ANTEQUERA","Villa Aurora (Canoc-oc)",201.960962532566
"ANTEQUERA","Tupas",198.918676886073
"ANTIPAS","Poblacion",377.861176648199
"ANTIPAS","Malatad",167.716869246487
"ANTIPAS","Kiyaab",127.64942456096
"ANTIPAS","Camutan",111.601468967018
"ANTIPAS","Malire",82.8619929360381
"APALIT","San Vicente",3197.41406424394
"APALIT","Sampaloc",1683.81092284875
"APALIT","Balucuc",1430.76491165283
"APALIT","Tabuyuc (Santo Rosario)",1390.40782536808
"APALIT","Sulipan",1312.5257290291
"APARRI","Maura",551.088619185384
"APARRI","Macanaya (Pescaria)",430.724358579047
"APARRI","Punta",361.325145256475
"APARRI","San Antonio",300.291015682605
"APARRI","Paddaya",291.925931933902
"ARACELI","Poblacion (Centro)",158.534194637957
"ARACELI","Tudela (Calandagan)",119.70144817395
"ARACELI","Tinintinan",78.4046949546126
"ARACELI","Mauringuen",52.0891028076842
"ARACELI","Osmeña",48.9351741608613
"ARAKAN","Greenfield",288.758312092295
"ARAKAN","Doroluman",228.657145064004
"ARAKAN","Malibatuan",203.588769985886
"ARAKAN","Kabalantian",194.935460596996
"ARAKAN","Meocan",173.957740866353
"ARAYAT","Mangga-Cacutud",1434.87142218706
"ARAYAT","San Juan Bano",1283.63855147792
"ARAYAT","San Nicolas",1164.97455741962
"ARAYAT","San Mateo",903.715525155219
"ARAYAT","Gatiawin",895.360900275219
"ARGAO","Poblacion",1276.35583969016
"ARGAO","Talo-ot",933.747671500506
"ARGAO","Bulasa",853.712156800462
"ARGAO","Bogo",832.416157275012
"ARGAO","Talaga",821.417124553076
"ARINGAY","San Eugenio",952.707831004688
"ARINGAY","San Benito Sur",916.191141738053
"ARINGAY","Poblacion",874.637667744986
"ARINGAY","Santa Rita West",865.823294473729
"ARINGAY","Dulao",863.053062874191
"ARITAO","Poblacion",312.141550993267
"ARITAO","Bone South",299.439016411904
"ARITAO","Comon",296.728109641491
"ARITAO","Banganan",215.943087883183
"ARITAO","Kirang",195.572559865509
"AROROY","Puro",1558.01969364823
"AROROY","Panique",1228.44228950668
"AROROY","Ambolong",809.380787845297
"AROROY","Poblacion",783.321179145733
"AROROY","Tigbao",590.365105907046
"ARTECHE","Garden (Pob.)",455.725425418274
"ARTECHE","Carapdapan",364.278034911456
"ARTECHE","Concepcion",320.443748552816
"ARTECHE","Tangbo",263.194659041317
"ARTECHE","Rawis (Pob.)",262.816777262363
"ASINGAN","Domanpot",1442.53514565024
"ASINGAN","Bantog",1113.38126377788
"ASINGAN","Calepaan",1029.01511961014
"ASINGAN","Carosucan Norte",963.033239693875
"ASINGAN","Macalong",922.487122646094
"ASIPULO","Camandag",251.00665451617
"ASIPULO","Amduntog",126.393421777646
"ASIPULO","Namal",116.483702793201
"ASIPULO","Pula",83.6688848387234
"ASIPULO","Antipolo",82.5414317806129
"ASTURIAS","Poblacion",1280.56823520069
"ASTURIAS","Tubigagmanok",1052.16278974092
"ASTURIAS","Santa Lucia",932.343539663663
"ASTURIAS","Owak",902.154705171541
"ASTURIAS","Langub",857.222486392569
"ASUNCION (SAUG)","Cambanogoy (Pob.)",561.027642024961
"ASUNCION (SAUG)","Magatos",385.268956971387
"ASUNCION (SAUG)","Sagayen",259.824610514756
"ASUNCION (SAUG)","Doña Andrea",204.615438072409
"ASUNCION (SAUG)","Cabaywa",190.272436571923
"ATIMONAN","Caridad Ibaba",1439.34059914601
"ATIMONAN","Tagbakin",1290.26776848336
"ATIMONAN","Barangay Zone 1 (Pob.)",905.10235722654
"ATIMONAN","Malinao Ilaya",794.085517481024
"ATIMONAN","Barangay Zone 2 (Pob.)",760.635028649406
"ATOK","Paoay",260.79769423134
"ATOK","Caliking",201.873437036409
"ATOK","Topdac",156.597295808079
"ATOK","Cattubo",147.280973170008
"ATOK","Poblacion",123.248421141864
"AURORA","Poblacion",771.668294483623
"AURORA","San Jose",372.374161664408
"AURORA","Lintugop",288.798351635675
"AURORA","Libertad",221.216834092225
"AURORA","Gubaan",215.021861650742
"AYUNGON","Tambo",357.744275775768
"AYUNGON","Mabato",307.351363832735
"AYUNGON","Carol-an",265.856659764327
"AYUNGON","Awa-an",260.590373471181
"AYUNGON","Tiguib",247.424657738317
"BAAO","Buluang (San Antonio)",1468.34398135855
"BAAO","San Vicente",822.02736265538
"BAAO","Sagrada",804.207189059354
"BAAO","Agdangan Pob. (San Cayetano)",769.524915716551
"BAAO","San Isidro",717.980542626972
"BABATNGON","Poblacion District IV",489.167962855684
"BABATNGON","Poblacion District I",417.181483964987
"BABATNGON","Pagsulhugon",370.702025153671
"BABATNGON","Poblacion District III",364.089094021979
"BABATNGON","Gov. E. Jaro (Bagahupi) ",339.526778389983
"BACACAY","Bonga (Upper)",1465.66137458065
"BACACAY","Sogod",872.230432356011
"BACACAY","Hindi",728.136125429008
"BACACAY","Baclayon",517.934722903844
"BACACAY","Igang",446.845643289591
"BACARRA","Buyon",401.935421169305
"BACARRA","Libtong",399.668868042411
"BACARRA","Cabaruan",355.848840922449
"BACARRA","Cadaratan",300.192369695371
"BACARRA","Pasiocan",292.637192605722
"BACLAYON","Poblacion",470.150143369553
"BACLAYON","Santa Cruz",447.684033980067
"BACLAYON","Taguihon",439.25924295901
"BACLAYON","Montana",402.283771255481
"BACLAYON","San Roque",345.884475808959
"BACNOTAN","Poblacion",893.777449705429
"BACNOTAN","Baroro",687.772954394344
"BACNOTAN","Cabaroan",482.02029831958
"BACNOTAN","Bitalag",401.935421169305
"BACNOTAN","Tammocalao",344.516075287976
"BACO","Poblacion",148.875288157061
"BACO","Mangangan I",123.101777496306
"BACO","Dulangan II",118.568005066498
"BACO","San Ignacio (Dulangan III)",97.8703483217226
"BACO","Bangkatan",97.2789867004433
"BACOLOD","Poblacion Bacolod",558.116597934063
"BACOLOD","Esperanza",249.753965464738
"BACOLOD","Liangan East",199.546203511399
"BACOLOD","Demologan",178.000352909376
"BACOLOD","Binuni",177.703850378156
"BACOLOD CITY (Capital)","Mansilingan",4102.34622432106
"BACOLOD CITY (Capital)","Estefania",3716.45455628883
"BACOLOD CITY (Capital)","Taculing",3622.02459517035
"BACOLOD CITY (Capital)","Tangub",3518.06083990049
"BACOLOD CITY (Capital)","Villamonte",3320.93829606567
"BACOLOD-KALAWI (BACOLOD GRANDE)","Dipatuan",145.116020185016
"BACOLOD-KALAWI (BACOLOD GRANDE)","Bubong",87.7082313009622
"BACOLOD-KALAWI (BACOLOD GRANDE)","Poblacion II",81.2541011897372
"BACOLOD-KALAWI (BACOLOD GRANDE)","Lumbaca-Ingud",72.0824426106281
"BACOLOD-KALAWI (BACOLOD GRANDE)","Sugod",67.8702734854076
"BACOLOR","Calibutbut",1706.04272125824
"BACOLOR","San Isidro",807.56653712946
"BACOLOR","Cabalantian",632.402622272518
"BACOLOR","Cabetican",493.630886977608
"BACOLOR","San Vicente",374.25887386168
"BACONG","Banilad",415.219434802687
"BACONG","San Miguel",407.501601442043
"BACONG","Sacsac",344.033771805682
"BACONG","Buntis",281.110730406543
"BACONG","Combado",234.894528282211
"BACOOR CITY","Molino III",14219.6088864436
"BACOOR CITY","Molino IV",12449.8841113737
"BACOOR CITY","Molino II",9064.59768367533
"BACOOR CITY","San Nicolas III",7810.20435248964
"BACOOR CITY","Zapote V",4687.91633335867
"BACUAG","Poblacion",339.845392357021
"BACUAG","Campo",130.289585124637
"BACUAG","Payapag",95.9015764733511
"BACUAG","Cabugao",79.1420776721829
"BACUAG","Dugsangon",78.8937888010545
"BACUNGAN (Leon T. Postigo)","Bacungan (Pob.)",571.289094967295
"BACUNGAN (Leon T. Postigo)","Talinga",274.493597088978
"BACUNGAN (Leon T. Postigo)","Rizon",227.97498584657
"BACUNGAN (Leon T. Postigo)","Bogabongan",225.722268595122
"BACUNGAN (Leon T. Postigo)","Manil",205.447813332087
"BADIAN","Poblacion",957.617912726834
"BADIAN","Malhiao",694.10917134599
"BADIAN","Bugas",623.902579503847
"BADIAN","Banhigan",607.521041407347
"BADIAN","Taytay",491.212120922196
"BADIANGAN","Poblacion (Badiangan)",507.549011779111
"BADIANGAN","Calansanan",422.913290525825
"BADIANGAN","Iniligan",422.913290525825
"BADIANGAN","Manaolan",392.667296096751
"BADIANGAN","Botong",387.626297025238
"BADOC","Paltit",407.224045132059
"BADOC","Gabut Norte",386.825066990008
"BADOC","Napu",374.73678364657
"BADOC","Lacuben",358.115394049344
"BADOC","Garreta (Pob.)",346.530789178549
"BAGABAG","Baretbet",375.344405983467
"BAGABAG","Villa Coloma (Pob.)",212.147818404605
"BAGABAG","Murong",209.979092988275
"BAGABAG","Santa Lucia",204.092552572521
"BAGABAG","Lantap",200.839464448025
"BAGAC","Pag-asa (Wawa-Sibacan)",463.186067499643
"BAGAC","Parang",459.929179834558
"BAGAC","Saysain",404.845297151171
"BAGAC","Banawang",394.225011286764
"BAGAC","Atilano L. Ricardo",346.504526802698
"BAGAMANOC","Poblacion",185.674711984397
"BAGAMANOC","San Vicente",184.141793825599
"BAGAMANOC","Sagrada",167.279694078822
"BAGAMANOC","San Isidro",161.53125098333
"BAGAMANOC","Antipolo",158.465414665734
"BAGANGA","Lambajon",436.038628949298
"BAGANGA","Kinablangan",312.301782671296
"BAGANGA","Lucod",294.942197521898
"BAGANGA","Central (Pob.)",275.021362104556
"BAGANGA","Mahanub",228.634273918461
"BAGGAO","Hacienda Intal",438.469806494513
"BAGGAO","Santa Margarita",376.583677649942
"BAGGAO","San Jose",338.863346301624
"BAGGAO","Imurong",296.185928287408
"BAGGAO","Poblacion (Centro)",255.289963293749
"BAGO CITY","Ma-ao Barrio",1426.70959524483
"BAGO CITY","Taloc",1334.00479687756
"BAGO CITY","Lag-Asan",1069.96409790397
"BAGO CITY","Poblacion",1019.11719576325
"BAGO CITY","Dulao",918.058977758577
"BAGUIO CITY","Irisan",1810.27423388293
"BAGUIO CITY","Asin Road",780.019497308524
"BAGUIO CITY","Camp 7",650.896452337558
"BAGUIO CITY","Loakan Proper",604.611537320392
"BAGUIO CITY","Bakakeng Central",546.874072818209
"BAGULIN","Dagup",575.704494231223
"BAGULIN","Cambaly",465.650747958675
"BAGULIN","Suyo (Pob.)",436.185557309046
"BAGULIN","Cardiz",330.664917290287
"BAGULIN","Alibangsay",304.977315185482
"BAGUMBAYAN","Bai Sarifinang",401.251334147866
"BAGUMBAYAN","Masiag",372.459413817559
"BAGUMBAYAN","Poblacion",286.608095819904
"BAGUMBAYAN","Kapaya",280.944111492631
"BAGUMBAYAN","Biwang",250.001974889933
"BAIS CITY","Barangay II (Pob.)",784.404263560117
"BAIS CITY","Cambagahan",547.058188210407
"BAIS CITY","Sab-ahan",540.520729363743
"BAIS CITY","Panala-an",366.188493452709
"BAIS CITY","Okiot",341.582224738183
"BAKUN","Gambang",259.136184461493
"BAKUN","Ampusongan",155.766540923155
"BAKUN","Dalipey",141.940406052643
"BAKUN","Poblacion (Central)",112.389268003221
"BAKUN","Kayapa",103.3103039037
"BALABAC","Bancalaan",576.626860882415
"BALABAC","Mangsee",444.309698121174
"BALABAC","Salang",124.629461684611
"BALABAC","Catagupan",116.94176060798
"BALABAC","Ramos",114.871994933502
"BALABAGAN","Banago",149.667880368722
"BALABAGAN","Barorao",126.500950180009
"BALABAGAN","Poblacion (Balabagan)",100.888244370201
"BALABAGAN","Lorenzo",95.6570020695234
"BALABAGAN","Igabay",82.7487418470735
"BALAGTAS","Santol",2314.65590319449
"BALAGTAS","Panginay",1781.09274136671
"BALAGTAS","Borol 1st",1442.94283944401
"BALAGTAS","San Juan",1438.4115174752
"BALAGTAS","Pulong Gubat",1090.49095255725
"BALAMBAN","Buanoy",2821.60292613574
"BALAMBAN","Pondol",2310.26491555213
"BALAMBAN","Arpili",1477.14669235869
"BALAMBAN","Nangka",1439.46915473674
"BALAMBAN","Baliwagan (Pob.)",1285.71671860245
"BALANGIGA","San Miguel",389.029291432929
"BALANGIGA","Santa Rosa",374.858724722162
"BALANGIGA","Barangay Poblacion VI",364.089094021979
"BALANGIGA","Barangay Poblacion I",344.439241516382
"BALANGIGA","Guinmaayohan",267.918181278239
"BALANGKAYAN","Cabay",438.531804475876
"BALANGKAYAN","Poblacion V",239.577047856704
"BALANGKAYAN","Balogo",165.134337402807
"BALANGKAYAN","Poblacion IV",159.4661107185
"BALANGKAYAN","Maramag",158.710347160593
"BALAOAN","Paraoir",509.218935842315
"BALAOAN","Dr. Camilo Osias Pob. (Cabuaan Este)",471.694889630394
"BALAOAN","Bulbulala",416.290257639638
"BALAOAN","Nagsabaran Norte",389.343459353224
"BALAOAN","Nalasin",368.944481211173
"BALASAN","Poblacion Sur",648.962301522062
"BALASAN","Camambugan",583.959945073614
"BALASAN","Lawis",563.265317306352
"BALASAN","Balanti-an",555.305845088175
"BALASAN","Maya",555.305845088175
"BALATAN","Duran",1134.35943751045
"BALATAN","Siramag (Pob.)",974.935948995471
"BALATAN","Luluasan",754.962193207971
"BALATAN","Laganac",462.55805441727
"BALATAN","Pararao",412.738214256338
"BALAYAN","Caloocan",1481.75969730205
"BALAYAN","Navotas",960.125987406086
"BALAYAN","San Piro",897.588116981756
"BALAYAN","Barangay 10 (Pob.)",771.785191593279
"BALAYAN","Dalig",730.093277977059
"BALBALAN","Balantoy",89.4841690331878
"BALBALAN","Poblacion (Salegseg)",76.9041664900606
"BALBALAN","Pantikian",65.8076548128682
"BALBALAN","Poswoy",63.6714279659221
"BALBALAN","Balbalasang",59.1616157334803
"BALENO","Poblacion",752.471201199925
"BALENO","Gangao",409.097533629193
"BALENO","Lagta",372.115883048193
"BALENO","Cagara",266.919374400686
"BALENO","Cancahorao",265.961300551438
"BALER (Capital)","Suclayin",897.909768882677
"BALER (Capital)","Pingit",837.303337549798
"BALER (Capital)","Buhangin",751.916239199971
"BALER (Capital)","Sabang",684.371221102346
"BALER (Capital)","Reserva",648.545456786415
"BALETE","Aranas",1394.49953262468
"BALETE","Malabanan",1123.98490371169
"BALETE","Calizo",1024.91470596064
"BALETE","Fulgencio",946.646562481896
"BALETE","Arcangel",924.890671752211
"BALIANGAO","Misom",175.134161774245
"BALIANGAO","Lusot",168.314603556173
"BALIANGAO","Punta Miray",158.233517494676
"BALIANGAO","Sinian",149.338441558061
"BALIANGAO","Landing",144.890903589753
"BALIGUIAN","Mamad",255.796043901957
"BALIGUIAN","Poblacion",251.628516986778
"BALIGUIAN","Linay",242.505012118412
"BALIGUIAN","Kilalaban",215.134497513315
"BALIGUIAN","Kauswagan",198.914933302887
